origin,age,gender,education,degree,language,job_level,current_role,hired
asia,18,male,college,stem,c,student,student,yes
asia,18,male,college,stem,c,student,student,yes
africa,18,male,college,computer_science,c,student,student,yes
asia,18,male,college,computer_science,c,student,student,yes
asia,18,male,college,stem,js,student,student,yes
europe,18,male,college,other,python,student,student,no
united_states,18,male,college,computer_science,python,student,student,yes
asia,18,male,college,stem,python,student,student,yes
asia,18,male,college,computer_science,sql,student,student,no
asia,18,male,college,stem,sql,student,student,no
asia,18,male,high_school,computer_science,c,student,student,yes
asia,18,female,high_school,computer_science,c,student,student,yes
asia,18,female,high_school,computer_science,c,student,student,yes
asia,18,male,high_school,computer_science,c,student,student,yes
asia,18,male,high_school,computer_science,c,student,student,yes
asia,18,male,high_school,computer_science,c,student,student,yes
asia,18,non-binary,high_school,other,c,student,student,no
europe,18,female,high_school,stem,c,student,student,yes
united_states,18,female,high_school,other,c,student,student,no
united_states,18,female,high_school,other,c,student,student,no
asia,18,male,high_school,computer_science,c,student,student,yes
africa,18,female,high_school,stem,c,student,student,yes
asia,18,male,high_school,computer_science,c,student,student,yes
asia,18,male,high_school,computer_science,java,student,student,yes
asia,18,male,high_school,stem,python,student,student,yes
europe,18,male,high_school,computer_science,sql,student,student,no
united_states,18,male,high_school,other,sql,student,student,no
united_states,18,male,post_graduate,computer_science,c,student,student,yes
europe,18,female,post_graduate,computer_science,c,student,student,yes
europe,18,male,post_graduate,other,c,student,student,no
asia,18,male,post_graduate,stem,c,student,student,yes
europe,18,male,post_graduate,stem,c,student,student,yes
asia,18,male,post_graduate,other,c,student,student,no
canada,18,male,post_graduate,other,c,student,student,no
asia,18,female,post_graduate,other,c,student,student,no
asia,18,female,post_graduate,computer_science,c,student,student,yes
asia,18,female,post_graduate,computer_science,c,student,student,yes
asia,18,male,post_graduate,computer_science,c,student,student,yes
europe,18,male,post_graduate,computer_science,java,student,student,yes
asia,18,male,post_graduate,computer_science,js,student,student,yes
asia,18,male,post_graduate,stem,js,student,student,yes
asia,18,male,post_graduate,computer_science,python,student,student,yes
africa,18,male,post_graduate,computer_science,python,student,student,yes
europe,18,male,post_graduate,other,python,student,student,no
united_states,19,male,college,computer_science,c,student,student,yes
australia,19,female,college,computer_science,c,student,student,yes
united_states,19,male,college,other,c,student,student,no
europe,19,male,college,other,c,student,student,no
asia,19,male,college,other,c,student,student,no
europe,19,male,college,computer_science,c,student,student,yes
europe,19,male,college,stem,c,student,student,yes
europe,19,female,college,stem,c,student,student,yes
asia,19,female,college,computer_science,c,student,student,yes
asia,19,male,college,computer_science,c,student,student,yes
asia,19,non-binary,college,computer_science,c,student,student,yes
canada,19,male,college,other,c,student,student,no
asia,19,male,college,computer_science,c,student,student,yes
asia,19,female,college,stem,c,student,student,yes
asia,19,male,college,stem,c,student,student,yes
asia,19,male,college,stem,c,student,student,yes
united_states,19,male,college,computer_science,c,student,student,yes
asia,19,male,college,computer_science,c,student,student,yes
asia,19,male,college,stem,c,student,student,yes
asia,19,male,college,other,c,student,student,no
asia,19,male,college,stem,c,student,student,yes
asia,19,male,college,stem,c,student,student,yes
asia,19,male,college,computer_science,c,student,student,yes
asia,19,male,college,stem,java,student,student,yes
asia,19,male,college,computer_science,java,student,student,yes
middle_east,19,female,college,computer_science,js,student,student,yes
asia,19,male,college,stem,python,student,student,yes
europe,19,male,college,computer_science,sql,student,student,no
united_states,19,female,high_school,computer_science,c,student,student,yes
asia,19,female,high_school,other,c,student,student,no
europe,19,male,high_school,other,c,student,student,no
canada,19,male,high_school,computer_science,c,student,student,yes
europe,19,male,high_school,other,c,student,student,no
united_states,19,female,high_school,other,c,student,student,no
asia,19,male,high_school,other,c,student,student,no
europe,19,male,high_school,computer_science,java,student,student,yes
europe,19,male,high_school,stem,js,student,student,yes
south_america,19,male,high_school,other,python,student,student,no
asia,19,male,post_graduate,stem,c,student,student,yes
europe,19,male,post_graduate,other,c,student,student,no
asia,19,female,post_graduate,stem,c,student,student,yes
asia,19,male,post_graduate,computer_science,c,student,student,yes
asia,19,male,post_graduate,computer_science,c,student,student,yes
asia,19,male,post_graduate,computer_science,js,student,student,yes
united_states,20,male,college,stem,c,student,student,yes
africa,20,male,college,computer_science,c,student,student,yes
united_states,20,male,college,computer_science,c,student,student,yes
asia,20,male,college,stem,c,student,student,yes
asia,20,male,college,computer_science,c,student,student,yes
asia,20,male,college,computer_science,c,student,student,yes
europe,20,male,college,stem,c,student,student,yes
asia,20,male,college,other,c,student,student,no
europe,20,male,college,stem,c,student,student,yes
asia,20,male,college,stem,c,student,student,yes
united_states,20,male,college,computer_science,c,student,student,yes
asia,20,male,college,stem,c,student,student,yes
asia,20,female,college,stem,c,student,student,yes
asia,20,male,college,stem,c,student,student,yes
asia,20,male,college,stem,c,student,student,yes
asia,20,female,college,computer_science,c,student,student,yes
asia,20,male,college,stem,c,student,student,yes
asia,20,male,college,stem,c,student,student,yes
asia,20,male,college,stem,c,student,student,yes
united_states,20,male,college,other,c,student,student,no
asia,20,male,college,stem,c,student,student,yes
asia,20,male,college,computer_science,c,student,student,yes
asia,20,male,college,stem,c,student,student,yes
asia,20,male,college,other,c,student,student,no
asia,20,male,college,stem,c,student,student,yes
asia,20,male,college,stem,c,student,student,yes
asia,20,male,college,stem,java,student,student,yes
europe,20,male,college,other,java,student,student,no
united_states,20,male,college,other,js,student,student,no
asia,20,male,college,stem,js,student,student,yes
asia,20,male,college,computer_science,js,student,student,yes
asia,20,female,college,stem,python,student,student,yes
united_states,20,male,college,other,sql,student,student,no
united_states,20,male,high_school,other,c,student,student,no
asia,20,male,high_school,stem,c,student,student,yes
africa,20,male,high_school,other,c,student,student,no
asia,20,male,high_school,stem,c,student,student,yes
asia,20,male,high_school,stem,c,student,student,yes
canada,20,male,high_school,other,c,student,student,no
asia,20,male,high_school,stem,c,student,student,yes
europe,20,male,post_graduate,computer_science,c,student,student,yes
europe,20,male,post_graduate,other,c,student,student,no
europe,20,male,post_graduate,other,c,student,student,no
europe,20,male,post_graduate,stem,c,student,student,yes
asia,20,male,post_graduate,computer_science,c,student,student,yes
asia,20,male,post_graduate,stem,c,student,student,yes
united_states,20,female,post_graduate,other,c,student,student,no
asia,20,male,post_graduate,stem,c,student,student,yes
asia,20,male,post_graduate,stem,c,student,student,yes
asia,20,male,post_graduate,other,c,student,student,no
asia,20,male,post_graduate,other,c,student,student,no
united_states,21,male,college,computer_science,c,student,student,yes
asia,21,male,college,computer_science,c,student,student,yes
united_states,21,male,college,computer_science,c,student,student,yes
canada,21,male,college,stem,c,student,student,yes
asia,21,male,college,stem,c,student,student,yes
asia,21,male,college,stem,c,student,student,yes
asia,21,male,college,other,c,student,student,no
asia,21,male,college,stem,c,student,student,yes
united_states,21,male,college,other,c,student,student,no
asia,21,male,college,stem,c,student,student,yes
africa,21,male,college,computer_science,c,student,student,yes
asia,21,male,college,stem,c,student,student,yes
asia,21,male,college,computer_science,c,student,student,yes
asia,21,male,college,stem,c,student,student,yes
asia,21,male,college,stem,c,student,student,yes
asia,21,female,college,stem,c,student,student,yes
asia,21,male,college,stem,c,student,student,yes
asia,21,female,college,stem,c,student,student,yes
south_america,21,female,college,other,java,student,student,no
europe,21,male,college,computer_science,java,student,student,yes
europe,21,male,college,other,java,student,student,no
asia,21,female,college,computer_science,js,student,student,yes
asia,21,male,college,stem,js,student,student,yes
asia,21,female,college,computer_science,js,student,student,yes
asia,21,male,college,other,python,student,student,no
asia,21,male,college,stem,python,student,student,yes
africa,21,male,college,stem,sql,student,student,no
united_states,21,male,college,computer_science,sql,student,student,no
asia,21,female,college,stem,sql,student,student,no
united_states,21,male,high_school,computer_science,c,student,student,yes
asia,21,male,high_school,stem,c,student,student,yes
united_states,21,male,high_school,computer_science,c,student,student,yes
europe,21,male,high_school,other,c,student,student,no
asia,21,male,high_school,computer_science,c,student,student,yes
asia,21,male,high_school,computer_science,c,student,student,yes
canada,21,male,high_school,other,c,student,student,no
united_states,21,female,high_school,other,c,student,student,no
asia,21,male,high_school,computer_science,c,student,student,yes
asia,21,female,high_school,computer_science,c,student,student,yes
asia,21,male,high_school,stem,c,student,student,yes
united_states,21,non-binary,high_school,other,js,student,student,no
africa,21,female,high_school,computer_science,sql,student,student,no
united_states,21,male,post_graduate,computer_science,c,student,student,yes
europe,21,male,post_graduate,computer_science,c,student,student,yes
asia,21,male,post_graduate,computer_science,c,student,student,yes
asia,21,male,post_graduate,computer_science,c,student,student,yes
asia,21,male,post_graduate,stem,c,student,student,yes
asia,21,male,post_graduate,stem,c,student,student,yes
asia,21,female,post_graduate,stem,c,student,student,yes
asia,21,male,post_graduate,computer_science,c,student,student,yes
europe,21,male,post_graduate,stem,c,student,student,yes
asia,21,female,post_graduate,computer_science,java,student,student,yes
asia,21,male,post_graduate,computer_science,python,student,student,yes
asia,22,male,college,stem,c,junior,student,yes
united_states,22,female,college,computer_science,c,student,student,yes
asia,22,male,college,computer_science,c,student,student,yes
europe,22,male,college,other,c,student,student,no
asia,22,male,college,stem,c,student,student,yes
africa,22,male,college,computer_science,c,student,student,yes
asia,22,male,college,stem,c,student,student,yes
asia,22,male,college,computer_science,c,student,student,yes
asia,22,male,college,stem,c,student,student,yes
asia,22,female,college,stem,c,student,student,yes
europe,22,male,college,other,c,student,student,no
middle_east,22,female,college,computer_science,c,student,student,yes
united_states,22,male,college,other,c,student,student,no
united_states,22,male,college,other,c,student,student,no
asia,22,male,college,stem,c,student,student,yes
asia,22,female,college,other,c,student,student,no
asia,22,male,college,stem,c,student,student,yes
asia,22,female,college,stem,c,student,student,yes
asia,22,female,college,stem,c,student,student,yes
asia,22,female,college,stem,c,student,student,yes
canada,22,female,college,other,c,student,student,no
asia,22,male,college,computer_science,c,student,student,yes
asia,22,male,college,stem,c,student,student,yes
asia,22,male,college,computer_science,c,student,student,yes
asia,22,male,college,computer_science,c,student,student,yes
asia,22,male,college,stem,c,student,student,yes
asia,22,male,college,computer_science,java,student,student,yes
europe,22,male,college,computer_science,js,student,student,yes
europe,22,female,college,other,js,student,student,no
europe,22,female,college,computer_science,js,student,student,yes
europe,22,male,college,other,js,student,student,no
united_states,22,male,college,other,js,student,student,no
asia,22,male,college,stem,js,student,student,yes
united_states,22,male,college,other,python,student,student,no
united_states,22,female,college,other,python,student,student,no
united_states,22,female,college,other,sql,student,student,no
middle_east,22,male,high_school,computer_science,c,student,student,yes
europe,22,male,high_school,no_degree,c,student,student,no
europe,22,male,high_school,stem,c,student,student,yes
united_states,22,male,high_school,computer_science,c,student,student,yes
asia,22,male,high_school,stem,c,student,student,yes
asia,22,male,high_school,computer_science,c,student,student,yes
asia,22,male,high_school,stem,c,student,student,yes
asia,22,male,high_school,stem,c,student,student,yes
asia,22,male,high_school,stem,c,student,student,yes
asia,22,male,high_school,computer_science,java,student,student,yes
europe,22,male,high_school,other,js,student,student,no
asia,22,male,high_school,stem,js,student,student,yes
united_states,22,female,high_school,stem,python,student,student,yes
asia,22,male,high_school,computer_science,sql,student,student,no
africa,22,female,high_school,other,sql,student,student,no
united_states,22,female,high_school,computer_science,sql,student,student,no
europe,22,male,post_graduate,other,c,student,student,no
asia,22,female,post_graduate,computer_science,c,student,student,yes
united_states,22,male,post_graduate,computer_science,c,student,student,yes
middle_east,22,male,post_graduate,computer_science,c,student,student,yes
asia,22,male,post_graduate,other,c,student,student,no
asia,22,male,post_graduate,stem,c,student,student,yes
africa,22,male,post_graduate,computer_science,c,student,student,yes
asia,22,female,post_graduate,computer_science,c,student,student,yes
asia,22,male,post_graduate,computer_science,java,student,student,yes
asia,22,female,post_graduate,other,python,student,student,no
united_states,22,male,post_graduate,other,sql,student,student,no
canada,22,male,post_graduate,other,sql,student,student,no
africa,23,male,college,stem,js,junior,developer,yes
united_states,23,male,college,computer_science,js,junior,developer,yes
asia,23,male,college,stem,js,junior,developer,yes
africa,23,male,college,computer_science,sql,junior,developer,no
united_states,23,non-binary,college,computer_science,sql,junior,developer,no
united_states,23,male,college,other,c,junior,student,no
asia,23,female,college,computer_science,c,junior,student,yes
asia,23,male,college,stem,c,junior,student,yes
middle_east,23,male,college,computer_science,python,new_grad,data_scientist,yes
canada,23,male,college,computer_science,python,new_grad,data_scientist,yes
europe,23,female,college,computer_science,js,student,data_scientist,yes
asia,23,female,college,computer_science,python,student,data_scientist,yes
europe,23,male,college,computer_science,python,student,data_scientist,yes
europe,23,male,college,stem,python,student,data_scientist,yes
asia,23,male,college,stem,python,student,data_scientist,yes
asia,23,male,college,other,c,student,student,no
united_states,23,female,college,computer_science,java,student,student,yes
asia,23,male,college,stem,java,student,student,yes
europe,23,male,high_school,stem,java,junior,developer,yes
australia,23,male,high_school,no_degree,c,junior,student,no
asia,23,male,high_school,stem,js,new_grad,developer,yes
africa,23,male,high_school,computer_science,python,student,data_scientist,yes
canada,23,female,high_school,stem,python,student,data_scientist,yes
canada,23,male,high_school,other,python,student,data_scientist,yes
asia,23,female,high_school,computer_science,c,student,student,yes
asia,23,male,high_school,computer_science,c,student,student,yes
united_states,23,male,high_school,stem,c,student,student,yes
asia,23,male,high_school,stem,c,student,student,yes
canada,23,male,high_school,stem,java,student,student,yes
asia,23,female,post_graduate,stem,python,junior,data_scientist,yes
asia,23,male,post_graduate,stem,python,junior,developer,yes
europe,23,male,post_graduate,computer_science,sql,junior,developer,no
united_states,23,female,post_graduate,computer_science,python,student,data_scientist,yes
united_states,23,female,post_graduate,other,python,student,data_scientist,yes
united_states,23,male,post_graduate,stem,python,student,data_scientist,yes
asia,23,male,post_graduate,other,c,student,student,no
united_states,23,male,post_graduate,stem,java,student,student,yes
asia,23,male,post_graduate,stem,java,student,student,yes
asia,23,male,post_graduate,stem,java,student,student,yes
asia,24,male,college,stem,js,junior,data_scientist,yes
asia,24,male,college,computer_science,js,junior,data_scientist,yes
united_states,24,male,college,other,python,junior,data_scientist,yes
asia,24,male,college,stem,python,junior,data_scientist,yes
europe,24,male,college,other,python,junior,data_scientist,yes
africa,24,male,college,other,python,junior,data_scientist,yes
asia,24,female,college,stem,python,junior,data_scientist,yes
asia,24,male,college,stem,python,junior,data_scientist,yes
asia,24,male,college,computer_science,python,junior,data_scientist,yes
asia,24,male,college,stem,c,junior,developer,yes
asia,24,male,college,stem,js,junior,developer,yes
united_states,24,female,college,other,js,junior,developer,yes
asia,24,male,college,other,sql,junior,developer,yes
africa,24,male,college,stem,js,new_grad,data_scientist,yes
united_states,24,male,college,other,python,new_grad,data_scientist,yes
asia,24,male,college,stem,python,new_grad,data_scientist,yes
asia,24,male,college,stem,python,new_grad,data_scientist,yes
asia,24,male,college,stem,python,new_grad,data_scientist,yes
asia,24,male,college,computer_science,python,new_grad,data_scientist,yes
asia,24,female,college,computer_science,python,new_grad,data_scientist,yes
asia,24,male,college,stem,python,new_grad,data_scientist,yes
asia,24,male,college,stem,python,new_grad,data_scientist,yes
canada,24,male,college,stem,python,new_grad,data_scientist,yes
asia,24,female,college,computer_science,python,new_grad,data_scientist,yes
asia,24,male,college,computer_science,python,new_grad,data_scientist,yes
asia,24,male,college,stem,python,new_grad,data_scientist,yes
asia,24,male,college,computer_science,python,new_grad,data_scientist,yes
asia,24,male,college,other,python,new_grad,data_scientist,yes
asia,24,male,college,stem,python,new_grad,data_scientist,yes
asia,24,male,college,stem,python,new_grad,data_scientist,yes
asia,24,female,college,stem,python,new_grad,data_scientist,yes
united_states,24,male,college,other,python,new_grad,data_scientist,yes
asia,24,male,college,stem,python,new_grad,data_scientist,yes
asia,24,male,college,stem,js,new_grad,developer,yes
europe,24,non-binary,college,other,python,senior,data_scientist,yes
middle_east,24,male,college,computer_science,js,student,data_scientist,yes
europe,24,female,college,computer_science,js,student,data_scientist,yes
asia,24,male,college,stem,python,student,data_scientist,yes
africa,24,male,high_school,computer_science,js,freelancer,developer,yes
africa,24,male,high_school,other,python,junior,developer,yes
asia,24,male,high_school,computer_science,python,manager,developer,no
asia,24,female,high_school,computer_science,js,student,data_scientist,yes
australia,24,male,high_school,computer_science,js,student,data_scientist,yes
asia,24,male,high_school,computer_science,js,student,data_scientist,yes
asia,24,male,high_school,computer_science,js,student,data_scientist,yes
asia,24,male,high_school,other,python,student,data_scientist,yes
asia,24,male,post_graduate,computer_science,c,junior,developer,yes
asia,24,male,post_graduate,computer_science,c,junior,developer,yes
south_america,24,male,post_graduate,other,python,manager,data_scientist,yes
asia,24,male,post_graduate,computer_science,python,new_grad,data_scientist,yes
europe,24,male,post_graduate,stem,python,new_grad,data_scientist,yes
asia,24,male,post_graduate,stem,python,new_grad,data_scientist,yes
asia,24,female,post_graduate,computer_science,python,new_grad,data_scientist,yes
asia,24,male,post_graduate,computer_science,js,student,data_scientist,yes
asia,24,male,post_graduate,computer_science,js,student,data_scientist,yes
asia,25,male,college,stem,js,junior,data_scientist,yes
united_states,25,male,college,other,js,junior,data_scientist,yes
united_states,25,male,college,other,js,junior,data_scientist,yes
united_states,25,female,college,computer_science,python,junior,data_scientist,yes
asia,25,female,college,computer_science,python,junior,data_scientist,yes
united_states,25,male,college,other,python,junior,data_scientist,yes
united_states,25,male,college,other,python,junior,data_scientist,yes
europe,25,female,college,other,c,junior,developer,yes
middle_east,25,male,college,other,c,junior,developer,yes
united_states,25,male,college,computer_science,java,junior,developer,yes
united_states,25,male,college,other,java,junior,developer,yes
united_states,25,male,college,other,js,junior,developer,yes
africa,25,female,college,other,js,junior,developer,yes
united_states,25,female,college,other,js,junior,developer,yes
united_states,25,male,college,stem,js,junior,developer,yes
asia,25,male,college,stem,js,junior,developer,yes
united_states,25,female,college,stem,python,junior,developer,yes
united_states,25,female,college,computer_science,python,junior,developer,yes
united_states,25,male,college,other,python,junior,developer,yes
united_states,25,female,college,other,python,junior,developer,yes
united_states,25,male,college,other,java,manager,developer,no
middle_east,25,male,college,other,c,new_grad,developer,yes
united_states,25,male,college,other,c,senior,developer,no
united_states,25,male,college,other,c,senior,developer,no
asia,25,male,college,stem,c,senior,developer,no
asia,25,male,college,stem,c,senior,developer,no
united_states,25,male,college,other,java,senior,developer,no
africa,25,male,college,other,java,senior,developer,no
united_states,25,male,college,other,java,senior,developer,no
united_states,25,male,college,other,java,senior,developer,no
asia,25,male,college,stem,js,senior,developer,no
united_states,25,female,college,other,js,senior,developer,no
united_states,25,male,college,computer_science,python,senior,developer,no
europe,25,female,college,computer_science,js,student,data_scientist,yes
europe,25,female,college,other,js,student,data_scientist,yes
united_states,25,male,college,computer_science,python,student,data_scientist,yes
europe,25,female,post_graduate,other,js,junior,data_scientist,yes
europe,25,female,post_graduate,other,js,junior,data_scientist,yes
europe,25,male,post_graduate,computer_science,python,junior,data_scientist,yes
europe,25,male,post_graduate,other,python,junior,data_scientist,yes
europe,25,female,post_graduate,computer_science,python,junior,data_scientist,yes
united_states,25,female,post_graduate,other,java,junior,developer,yes
united_states,25,female,post_graduate,computer_science,python,junior,developer,yes
europe,25,male,post_graduate,computer_science,c,senior,developer,no
united_states,25,male,post_graduate,computer_science,python,student,data_scientist,yes
europe,26,male,college,other,c,freelancer,developer,yes
middle_east,26,female,college,computer_science,c,junior,administrator,no
africa,26,male,college,stem,c,junior,administrator,no
united_states,26,female,college,stem,js,junior,data_scientist,yes
united_states,26,male,college,other,js,junior,data_scientist,yes
united_states,26,male,college,other,js,junior,data_scientist,yes
united_states,26,male,college,other,c,junior,developer,yes
united_states,26,female,college,other,js,junior,developer,yes
united_states,26,male,college,other,js,junior,developer,yes
asia,26,male,college,other,js,junior,developer,yes
united_states,26,female,college,other,js,junior,developer,yes
united_states,26,male,college,other,python,junior,developer,yes
africa,26,male,college,computer_science,sql,junior,developer,no
asia,26,male,college,stem,c,senior,administrator,no
united_states,26,female,college,stem,c,senior,administrator,no
south_america,26,male,college,computer_science,c,senior,administrator,no
united_states,26,male,college,other,python,senior,administrator,no
asia,26,male,college,stem,js,senior,data_scientist,yes
united_states,26,male,college,other,c,senior,developer,no
canada,26,male,college,other,c,senior,developer,no
united_states,26,male,college,other,c,senior,developer,no
europe,26,male,college,other,c,senior,developer,no
united_states,26,female,college,other,c,senior,developer,no
united_states,26,male,college,other,c,senior,developer,no
united_states,26,female,college,other,js,senior,developer,no
united_states,26,male,college,other,js,senior,developer,no
united_states,26,male,college,other,python,senior,developer,no
asia,26,male,college,computer_science,js,student,data_scientist,yes
united_states,26,male,college,other,js,student,data_scientist,yes
united_states,26,male,high_school,other,c,junior,administrator,no
united_states,26,male,high_school,other,c,junior,developer,yes
europe,26,male,high_school,other,java,manager,administrator,no
united_states,26,male,high_school,stem,js,senior,developer,no
united_states,26,male,high_school,other,python,senior,developer,no
africa,26,male,post_graduate,other,c,freelancer,developer,yes
united_states,26,female,post_graduate,other,js,junior,data_scientist,yes
united_states,26,female,post_graduate,other,python,junior,data_scientist,yes
europe,26,male,post_graduate,other,c,junior,developer,yes
middle_east,26,male,post_graduate,computer_science,c,junior,developer,yes
europe,26,male,post_graduate,other,java,junior,developer,yes
united_states,26,male,post_graduate,other,js,junior,developer,yes
australia,26,female,post_graduate,other,python,junior,developer,yes
united_states,26,male,post_graduate,other,c,manager,developer,no
middle_east,26,male,post_graduate,computer_science,c,senior,administrator,no
europe,26,male,post_graduate,computer_science,c,senior,administrator,no
europe,27,male,college,other,c,junior,administrator,no
united_states,27,male,college,other,c,junior,administrator,no
united_states,27,male,college,computer_science,c,junior,administrator,no
europe,27,male,college,other,c,junior,administrator,no
asia,27,female,college,other,c,junior,administrator,no
united_states,27,male,college,other,c,junior,administrator,no
united_states,27,male,college,stem,js,junior,data_scientist,yes
united_states,27,male,college,other,js,junior,developer,yes
europe,27,male,college,other,python,junior,developer,yes
united_states,27,male,college,other,c,manager,developer,no
united_states,27,male,college,computer_science,python,manager,developer,no
africa,27,male,college,other,python,senior,data_scientist,yes
united_states,27,male,college,stem,c,senior,developer,no
canada,27,male,college,other,c,senior,developer,no
europe,27,male,college,other,c,senior,developer,no
europe,27,male,college,other,js,senior,developer,no
middle_east,27,male,college,other,js,senior,developer,no
south_america,27,male,college,computer_science,python,senior,developer,no
asia,27,female,college,other,python,senior,developer,no
europe,27,male,college,other,js,student,data_scientist,yes
united_states,27,male,high_school,other,c,freelancer,developer,yes
middle_east,27,male,high_school,other,js,junior,developer,yes
united_states,27,male,high_school,other,python,junior,developer,yes
canada,27,male,high_school,other,js,senior,data_scientist,yes
united_states,27,male,high_school,other,c,senior,developer,no
europe,27,male,post_graduate,other,python,junior,data_scientist,yes
europe,27,male,post_graduate,computer_science,c,senior,developer,no
europe,27,male,post_graduate,stem,java,senior,developer,no
united_states,27,male,post_graduate,computer_science,python,senior,developer,no
europe,27,male,post_graduate,stem,sql,senior,developer,no
united_states,27,male,post_graduate,other,js,student,data_scientist,yes
asia,28,male,college,other,c,freelancer,administrator,no
united_states,28,female,college,other,c,junior,administrator,no
middle_east,28,male,college,computer_science,python,junior,data_scientist,yes
united_states,28,male,college,other,python,junior,data_scientist,yes
united_states,28,female,college,stem,python,junior,data_scientist,yes
asia,28,male,college,stem,python,junior,data_scientist,yes
united_states,28,male,college,other,python,junior,data_scientist,yes
united_states,28,female,college,other,js,junior,developer,yes
united_states,28,female,college,other,js,junior,developer,yes
united_states,28,female,college,other,js,junior,developer,yes
united_states,28,male,college,other,js,junior,developer,yes
united_states,28,female,college,other,js,junior,developer,yes
united_states,28,male,college,other,python,junior,developer,yes
middle_east,28,male,college,other,sql,junior,developer,no
united_states,28,male,college,other,python,manager,data_scientist,yes
asia,28,male,college,computer_science,python,manager,developer,no
africa,28,male,college,other,python,manager,developer,no
united_states,28,male,college,computer_science,python,new_grad,data_scientist,yes
australia,28,female,college,computer_science,python,new_grad,developer,yes
united_states,28,male,college,other,c,senior,administrator,no
asia,28,male,college,stem,python,senior,data_scientist,yes
canada,28,female,college,computer_science,c,senior,developer,no
europe,28,male,college,other,c,senior,developer,no
united_states,28,female,college,other,c,senior,developer,no
asia,28,male,college,stem,c,senior,developer,no
united_states,28,male,college,other,c,senior,developer,no
asia,28,male,college,other,c,senior,developer,no
united_states,28,male,college,other,c,senior,developer,no
united_states,28,male,college,other,c,senior,developer,no
middle_east,28,male,college,other,js,senior,developer,no
asia,28,male,college,other,js,senior,developer,no
united_states,28,male,college,other,js,senior,developer,no
europe,28,male,college,other,python,senior,developer,no
europe,28,male,high_school,other,sql,freelancer,developer,no
canada,28,male,high_school,other,js,junior,developer,yes
united_states,28,male,high_school,other,c,senior,administrator,no
europe,28,male,high_school,other,c,senior,developer,no
middle_east,28,male,high_school,other,c,senior,developer,no
middle_east,28,male,high_school,computer_science,js,senior,developer,no
asia,28,male,post_graduate,other,java,junior,administrator,no
united_states,28,female,post_graduate,stem,js,junior,data_scientist,yes
asia,28,male,post_graduate,other,java,senior,administrator,no
europe,28,female,post_graduate,stem,js,senior,developer,no
united_states,28,male,post_graduate,other,python,senior,developer,no
asia,28,male,post_graduate,computer_science,python,senior,developer,no
middle_east,28,male,post_graduate,stem,python,student,data_scientist,yes
asia,29,male,college,computer_science,python,freelancer,data_scientist,yes
asia,29,male,college,stem,python,freelancer,data_scientist,yes
united_states,29,male,college,other,js,junior,data_scientist,yes
united_states,29,female,college,stem,python,junior,data_scientist,yes
south_america,29,non-binary,college,other,c,junior,developer,yes
united_states,29,female,college,stem,c,junior,developer,yes
